Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
REA,REA GROUP LTD,Communication,Equity,11621806.61,0.00804,11621806.61,99727,116.54,Australia,Asx - All Markets,AUD
9697,CAPCOM LTD,Communication,Equity,11564008.98,0.008,11564008.98,599800,19.28,Japan,Tokyo Stock Exchange,JPY
RBI,RAIFFEISEN BANK INTERNATIONAL AG,Financials,Equity,11569632.13,0.008,11569632.13,209596,55.2,Austria,Wiener Boerse Ag,EUR
7912,DAI NIPPON PRINTING LTD,Industrials,Equity,11475916.8,0.00794,11475916.8,626786,18.31,Japan,Tokyo Stock Exchange,JPY
8331,CHIBA BANK LTD,Financials,Equity,11433030.45,0.00791,11433030.45,805200,14.2,Japan,Tokyo Stock Exchange,JPY
4755,RAKUTEN GROUP INC,Consumer Discretionary,Equity,11364398.03,0.00786,11364398.03,2363212,4.81,Japan,Tokyo Stock Exchange,JPY
HEN,HENKEL AG,Consumer Staples,Equity,11321971.68,0.00783,11321971.68,161289,70.2,Germany,Xetra,EUR
C6L,SINGAPORE AIRLINES LTD,Industrials,Equity,11251493.23,0.00778,11251493.23,2287355,4.92,Singapore,Singapore Exchange,SGD
ANA,ACCIONA SA,Utilities,Equity,11183917.7,0.00774,11183917.7,36715,304.62,Spain,Bolsa De Madrid,EUR
SHL,SONIC HEALTHCARE LTD,Health Care,Equity,11172548.39,0.00773,11172548.39,835137,13.38,Australia,Asx - All Markets,AUD
TIT,TELECOM ITALIA,Communication,Equity,11160813.84,0.00772,11160813.84,13473620,0.83,Italy,Borsa Italiana,EUR
ORNBV,ORION CLASS B,Health Care,Equity,11135474.43,0.0077,11135474.43,141556,78.67,Finland,Nasdaq Omx Helsinki Ltd.,EUR
INDU A,INDUSTRIVARDEN A,Financials,Equity,11117804.12,0.00769,11117804.12,214161,51.91,Sweden,Nasdaq Omx Nordic,SEK
LHA,DEUTSCHE LUFTHANSA AG,Industrials,Equity,11029714.74,0.00763,11029714.74,1193535,9.24,Germany,Xetra,EUR
3659,NEXON LTD,Communication,Equity,11036475.82,0.00763,11036475.82,692742,15.93,Japan,Tokyo Stock Exchange,JPY
9021,WEST JAPAN RAILWAY,Industrials,Equity,10930787.44,0.00756,10930787.44,637878,17.14,Japan,Tokyo Stock Exchange,JPY
SOL,WASHINGTON H SOUL PATTINSON & COMP,Financials,Equity,10931028.04,0.00756,10931028.04,358224,30.51,Australia,Asx - All Markets,AUD
2801,KIKKOMAN CORP,Consumer Staples,Equity,10918273.74,0.00755,10918273.74,1227200,8.9,Japan,Tokyo Stock Exchange,JPY
ASX,ASX LTD,Financials,Equity,10765853.3,0.00745,10765853.3,254540,42.3,Australia,Asx - All Markets,AUD
CLAR,CAPITALAND ASCENDAS REIT,Real Estate,Equity,10717284.75,0.00741,10717284.75,5530683,1.94,Singapore,Singapore Exchange,SGD
27,GALAXY ENTERTAINMENT GROUP LTD,Consumer Discretionary,Equity,10662635.43,0.00738,10662635.43,2469368,4.32,Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
INDU C,INDUSTRIVARDEN SERIES,Financials,Equity,10656108.09,0.00737,10656108.09,207882,51.26,Sweden,Nasdaq Omx Nordic,SEK
7259,AISIN CORP,Consumer Discretionary,Equity,10659313,0.00737,10659313,700194,15.22,Japan,Tokyo Stock Exchange,JPY
SECU B,SECURITAS B,Industrials,Equity,10659437.84,0.00737,10659437.84,657332,16.22,Sweden,Nasdaq Omx Nordic,SEK
ALO,ALSTOM SA,Industrials,Equity,10601983.18,0.00733,10601983.18,510807,20.76,France,Nyse Euronext - Euronext Paris,EUR
6823,HKT TRUST AND HKT UNITS LTD,Communication,Equity,10602084.06,0.00733,10602084.06,6559223,1.62,Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
7272,YAMAHA MOTOR LTD,Consumer Discretionary,Equity,10549260.49,0.0073,10549260.49,1430800,7.37,Japan,Tokyo Stock Exchange,JPY
3626,TIS INC,Information Technology,Equity,10469354.07,0.00724,10469354.07,497200,21.06,Japan,Tokyo Stock Exchange,JPY
CAR,CAR GROUP LTD,Communication,Equity,10404434.19,0.0072,10404434.19,550081,18.91,Australia,Asx - All Markets,AUD
7309,SHIMANO INC,Consumer Discretionary,Equity,10371776.85,0.00717,10371776.85,98395,105.41,Japan,Tokyo Stock Exchange,JPY
CTC.A,CANADIAN TIRE LTD CLASS A,Consumer Discretionary,Equity,10350980.04,0.00716,10350980.04,81237,127.42,Canada,Toronto Stock Exchange,CAD
AM,DASSAULT AVIATION SA,Industrials,Equity,10279359.4,0.00711,10279359.4,30967,331.95,France,Nyse Euronext - Euronext Paris,EUR
7701,SHIMADZU CORP,Information Technology,Equity,10260703.72,0.0071,10260703.72,464951,22.07,Japan,Tokyo Stock Exchange,JPY
IAG,INTERNATIONAL AIRLINES GROUP SA,Industrials,Equity,10267084.41,0.0071,10267084.41,1978018,5.19,Spain,Bolsa De Madrid,EUR
UHR,THE SWATCH GROUP AG,Consumer Discretionary,Equity,10242354.38,0.00709,10242354.38,39724,257.84,Switzerland,SIX Swiss Exchange,CHF
PAH3,PORSCHE AUTOMOBIL HOLDING PREF,Consumer Discretionary,Equity,10246599.68,0.00709,10246599.68,272955,37.54,Germany,Xetra,EUR
CAE,CAE INC,Industrials,Equity,10121925.93,0.007,10121925.93,391270,25.87,Canada,Toronto Stock Exchange,CAD
4689,LY CORP,Communication,Equity,10083588.61,0.00698,10083588.61,3939400,2.56,Japan,Tokyo Stock Exchange,JPY
RNO,RENAULT SA,Consumer Discretionary,Equity,10031157.49,0.00694,10031157.49,303367,33.07,France,Nyse Euronext - Euronext Paris,EUR
IPN,IPSEN SA,Health Care,Equity,9989468.57,0.00691,9989468.57,51584,193.66,France,Nyse Euronext - Euronext Paris,EUR
7201,NISSAN MOTOR LTD,Consumer Discretionary,Equity,9990472.15,0.00691,9990472.15,4320326,2.31,Japan,Tokyo Stock Exchange,JPY
ELISA,ELISA,Communication,Equity,9929349.18,0.00687,9929349.18,208771,47.56,Finland,Nasdaq Omx Helsinki Ltd.,EUR
5411,JFE HOLDINGS INC,Materials,Equity,9897321.91,0.00685,9897321.91,925887,10.69,Japan,Tokyo Stock Exchange,JPY
SBRY,SAINSBURY(J) PLC,Consumer Staples,Equity,9871956.48,0.00683,9871956.48,2386234,4.14,United Kingdom,London Stock Exchange,GBP
SCA B,SVENSKA CELLULOSA B,Materials,Equity,9810492.63,0.00679,9810492.63,920411,10.66,Sweden,Nasdaq Omx Nordic,SEK
JMT,JERONIMO MARTINS SA,Consumer Staples,Equity,9807831.16,0.00678,9807831.16,457858,21.42,Portugal,Nyse Euronext - Euronext Lisbon,EUR
5201,AGC INC,Industrials,Equity,9781742.05,0.00677,9781742.05,256412,38.15,Japan,Tokyo Stock Exchange,JPY
8951,NIPPON BUILDING FUND REIT INC,Real Estate,Equity,9752535.96,0.00675,9752535.96,12428,784.72,Japan,Tokyo Stock Exchange,JPY
WTC,WISETECH GLOBAL LTD,Information Technology,Equity,9710151.97,0.00672,9710151.97,366376,26.5,Australia,Asx - All Markets,AUD
SGP,STOCKLAND STAPLED UNITS LTD,Real Estate,Equity,9670715.9,0.00669,9670715.9,3378900,2.86,Australia,Asx - All Markets,AUD
4204,SEKISUI CHEMICAL LTD,Industrials,Equity,9659668.46,0.00668,9659668.46,648124,14.9,Japan,Tokyo Stock Exchange,JPY
9843,NITORI HOLDINGS LTD,Consumer Discretionary,Equity,9613413.64,0.00665,9613413.64,671220,14.32,Japan,Tokyo Stock Exchange,JPY
4151,KYOWA KIRIN LTD,Health Care,Equity,9595921.19,0.00664,9595921.19,642212,14.94,Japan,Tokyo Stock Exchange,JPY
KESKOB,KESKO CLASS B,Consumer Staples,Equity,9562288.31,0.00661,9562288.31,402502,23.76,Finland,Nasdaq Omx Helsinki Ltd.,EUR
BARN,BARRY CALLEBAUT AG,Consumer Staples,Equity,9538435.6,0.0066,9538435.6,6266,1522.25,Switzerland,SIX Swiss Exchange,CHF
9107,KAWASAKI KISEN LTD,Industrials,Equity,9485954.66,0.00656,9485954.66,589800,16.08,Japan,Tokyo Stock Exchange,JPY
83,SINO LAND LTD,Real Estate,Equity,9455262.13,0.00654,9455262.13,5826703,1.62,Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
DSG,DESCARTES SYSTEMS GROUP INC,Information Technology,Equity,9430703.95,0.00652,9430703.95,140154,67.29,Canada,Toronto Stock Exchange,CAD
SPX,SPIRAX GROUP PLC,Industrials,Equity,9369721.68,0.00648,9369721.68,97250,96.35,United Kingdom,London Stock Exchange,GBP
3088,MATSUKIYOKARA,Consumer Staples,Equity,9347554.46,0.00647,9347554.46,668900,13.97,Japan,Tokyo Stock Exchange,JPY
SYENS,SYENSQO NV,Materials,Equity,9308464.3,0.00644,9308464.3,135537,68.68,Belgium,Nyse Euronext - Euronext Brussels,EUR
NICE,NICE LTD,Information Technology,Equity,9292373.6,0.00643,9292373.6,105917,87.73,Israel,Tel Aviv Stock Exchange,ILS
SAP,SAPUTO INC,Consumer Staples,Equity,9294622.43,0.00643,9294622.43,319289,29.11,Canada,Toronto Stock Exchange,CAD
AIA,AUCKLAND INTERNATIONAL AIRPORT LTD,Industrials,Equity,9280148.29,0.00642,9280148.29,1867302,4.97,New Zealand,New Zealand Exchange Ltd,NZD
P911,DR ING HC F PORSCHE PRF AG,Consumer Discretionary,Equity,9265017.5,0.00641,9265017.5,168774,54.9,Germany,Xetra,EUR
TITR,TELECOM ITALIA S.P.A.,Communication,Equity,9256957.6,0.0064,9256957.6,9641700,0.96,Italy,Borsa Italiana,EUR
ERIE,ERIE INDEMNITY CLASS A,Financials,Equity,9203046.64,0.00637,9203046.64,43144,213.31,United States,NASDAQ,USD
SRT3,SARTORIUS PREF AG,Health Care,Equity,9209409.61,0.00637,9209409.61,36931,249.37,Germany,Xetra,EUR
VER,VERBUND AG,Utilities,Equity,9150497.67,0.00633,9150497.67,127284,71.89,Austria,Wiener Boerse Ag,EUR
1878,DAITO TRUST CONSTRUCTION LTD,Real Estate,Equity,9140079.48,0.00632,9140079.48,412870,22.14,Japan,Tokyo Stock Exchange,JPY
SCHN,SCHINDLER HOLDING AG,Industrials,Equity,9141842.79,0.00632,9141842.79,28520,320.54,Switzerland,SIX Swiss Exchange,CHF
4612,NIPPON PAINT HOLDINGS LTD,Materials,Equity,9097145.03,0.00629,9097145.03,1453200,6.26,Japan,Tokyo Stock Exchange,JPY
REC,RECORDATI INDUSTRIA CHIMICA E FARM,Health Care,Equity,9013647.55,0.00624,9013647.55,148980,60.5,Italy,Borsa Italiana,EUR
8729,SONY FINANCIAL GROUP INC,Financials,Equity,9019543.99,0.00624,9019543.99,9736490,0.93,Japan,Tokyo Stock Exchange,JPY
HAG,HENSOLDT AG,Industrials,Equity,8928270.49,0.00618,8928270.49,101112,88.3,Germany,Xetra,EUR
NIBE B,NIBE INDUSTRIER CLASS B,Industrials,Equity,8920570.41,0.00617,8920570.41,2002413,4.45,Sweden,Nasdaq Omx Nordic,SEK
EVK,EVONIK INDUSTRIES AG,Materials,Equity,8897700.59,0.00616,8897700.59,428453,20.77,Germany,Xetra,EUR
G24,SCOUT24 N,Communication,Equity,8902525.2,0.00616,8902525.2,101627,87.6,Germany,Xetra,EUR
AZRG,AZRIELI GROUP LTD,Real Estate,Equity,8909151.48,0.00616,8909151.48,53796,165.61,Israel,Tel Aviv Stock Exchange,ILS
VCX,VICINITY CENTRES,Real Estate,Equity,8863339.73,0.00613,8863339.73,4964921,1.79,Australia,Asx - All Markets,AUD
SNAP,SNAP INC CLASS A,Communication,Equity,8797523.44,0.00609,8797523.44,1641329,5.36,United States,New York Stock Exchange Inc.,USD
GJF,GJENSIDIGE FORSIKRING,Financials,Equity,8770621.02,0.00607,8770621.02,325933,26.91,Norway,Oslo Bors Asa,NOK
6586,MAKITA CORP,Industrials,Equity,8767330.97,0.00606,8767330.97,247326,35.45,Japan,Tokyo Stock Exchange,JPY
AMUN,AMUNDI SA,Financials,Equity,8716413.69,0.00603,8716413.69,86927,100.27,France,Nyse Euronext - Euronext Paris,EUR
AVOL,AVOLTA AG,Consumer Discretionary,Equity,8672288.97,0.006,8672288.97,154197,56.24,Switzerland,SIX Swiss Exchange,CHF
FSV,FIRSTSERVICE SUBORDINATE VOTING CO,Real Estate,Equity,8640395.76,0.00598,8640395.76,66635,129.67,Canada,Toronto Stock Exchange,CAD
OTEX,OPEN TEXT CORP,Information Technology,Equity,8625066.68,0.00597,8625066.68,385754,22.36,Canada,Toronto Stock Exchange,CAD
SDLF,STANDARD LIFE PLC,Financials,Equity,8628429.8,0.00597,8628429.8,835895,10.32,United Kingdom,London Stock Exchange,GBP
F34,WILMAR INTERNATIONAL LTD,Consumer Staples,Equity,8628806.81,0.00597,8628806.81,2894397,2.98,Singapore,Singapore Exchange,SGD
SW,SODEXO SA,Consumer Discretionary,Equity,8514036.02,0.00589,8514036.02,153915,55.32,France,Nyse Euronext - Euronext Paris,EUR
NEM,NEMETSCHEK,Information Technology,Equity,8416586.1,0.00582,8416586.1,122655,68.62,Germany,Xetra,EUR
IVN,IVANHOE MINES LTD CLASS A,Materials,Equity,8366230.95,0.00579,8366230.95,916780,9.13,Canada,Toronto Stock Exchange,CAD
STERV,STORA ENSO CLASS R,Materials,Equity,8368716.89,0.00579,8368716.89,746665,11.21,Finland,Nasdaq Omx Helsinki Ltd.,EUR
HRL,HORMEL FOODS CORP,Consumer Staples,Equity,8341140,0.00577,8341140,417057,20,United States,New York Stock Exchange Inc.,USD
INDT,INDUTRADE,Industrials,Equity,8327932.91,0.00576,8327932.91,404806,20.57,Sweden,Nasdaq Omx Nordic,SEK
AUTO,AUTOTRADER GROUP PLC,Communication,Equity,8288082.11,0.00573,8288082.11,1248756,6.64,United Kingdom,London Stock Exchange,GBP
IGM,IGM FINANCIAL INC,Financials,Equity,8266052.71,0.00572,8266052.71,144896,57.05,Canada,Toronto Stock Exchange,CAD
Z,ZILLOW GROUP INC CLASS C,Real Estate,Equity,8253687.68,0.00571,8253687.68,220864,37.37,United States,NASDAQ,USD
BMED,BANCA MEDIOLANUM,Financials,Equity,8225413.31,0.00569,8225413.31,356392,23.08,Italy,Borsa Italiana,EUR
9CI,CAPITALAND INVESTMENT LTD,Real Estate,Equity,8174386.22,0.00565,8174386.22,3961780,2.06,Singapore,Singapore Exchange,SGD
ZAL,ZALANDO,Consumer Discretionary,Equity,8126811.08,0.00562,8126811.08,357640,22.72,Germany,Xetra,EUR
LAND,LAND SECURITIES GROUP REIT PLC,Real Estate,Equity,7992074.91,0.00553,7992074.91,1015743,7.87,United Kingdom,London Stock Exchange,GBP
BOL,BOLLORE,Energy,Equity,7973140.09,0.00552,7973140.09,1299014,6.14,France,Nyse Euronext - Euronext Paris,EUR
CU,CANADIAN UTILITIES LTD CLASS A,Utilities,Equity,7900158.62,0.00547,7900158.62,222281,35.54,Canada,Toronto Stock Exchange,CAD
4091,NIPPON SANSO HOLDINGS CORP,Materials,Equity,7875109.55,0.00545,7875109.55,204400,38.53,Japan,Tokyo Stock Exchange,JPY
T,TELUS,Communication,Equity,7862405.59,0.00544,7862405.59,635028,12.38,Canada,Toronto Stock Exchange,CAD
SDR,SCHRODERS PLC,Financials,Equity,7848987.36,0.00543,7848987.36,998413,7.86,United Kingdom,London Stock Exchange,GBP
